QKEY,DEVICE_TYPE_W144,SMUSE_a_W144,SMUSE_c_W144,SMUSE_d_W144,SMUSE_i_W144,SMUSE2_a_W144,SMUSE2_c_W144,SMUSE2_d_W144,SMUSE2_i_W144,SOCIALNEWS2_a_W144,SOCIALNEWS2_c_W144,SOCIALNEWS2_d_W144,SOCIALNEWS2_i_W144,FBWHY_a_W144,FBWHY_b_W144,FBWHY_c_W144,FBWHY_d_W144,FBWHY_e_W144,FBWHY_f_W144,FBWHY_g_W144,FBDEMOCRACY_W144,FBSOURCE_a_W144,FBSOURCE_b_W144,FBSOURCE_c_W144,FBSOURCE_d_W144,FBSOURCE_e_W144,FBTYPE_a_W144,FBTYPE_b_W144,FBTYPE_c_W144,FBTYPE_d_W144,FBACC_W144,FBINFLUENCE_W144,FBELSE_W144,FBWORN_W144,FBHARASS_W144,FBSHARE_W144,FBSHAREPOL_W144,FBWHYSP_a_W144,FBWHYSP_b_W144,FBWHYSP_c_W144,FBWHYSP_d_W144,FBWHYNTSP_a_W144,FBWHYNTSP_b_W144,FBWHYNTSP_c_W144,FBWHYNTSP_d_W144,FBSEEPOL_W144,FBPOLIDEO_W144,FBFREEEXP_W144,IGWHY_a_W144,IGWHY_b_W144,IGWHY_c_W144,IGWHY_d_W144,IGWHY_e_W144,IGWHY_f_W144,IGWHY_g_W144,IGDEMOCRACY_W144,IGSOURCE_a_W144,IGSOURCE_b_W144,IGSOURCE_c_W144,IGSOURCE_d_W144,IGSOURCE_e_W144,IGTYPE_a_W144,IGTYPE_b_W144,IGTYPE_c_W144,IGTYPE_d_W144,IGACC_W144,IGINFLUENCE_W144,IGELSE_W144,IGWORN_W144,IGHARASS_W144,IGSHARE_W144,IGSHAREPOL_W144,IGWHYSP_a_W144,IGWHYSP_b_W144,IGWHYSP_c_W144,IGWHYSP_d_W144,IGWHYNTSP_a_W144,IGWHYNTSP_b_W144,IGWHYNTSP_c_W144,IGWHYNTSP_d_W144,IGSEEPOL_W144,IGPOLIDEO_W144,IGFREEEXP_W144,XTWHY_a_W144,XTWHY_b_W144,XTWHY_c_W144,XTWHY_d_W144,XTWHY_e_W144,XTWHY_f_W144,XTWHY_g_W144,XTDEMOCRACY_W144,XTSOURCE_a_W144,XTSOURCE_b_W144,XTSOURCE_c_W144,XTSOURCE_d_W144,XTSOURCE_e_W144,XTTYPE_a_W144,XTTYPE_b_W144,XTTYPE_c_W144,XTTYPE_d_W144,XTACC_W144,XTINFLUENCE_W144,XTELSE_W144,XTWORN_W144,XTHARASS_W144,XTSHARE_W144,XTSHAREPOL_W144,XTWHYSP_a_W144,XTWHYSP_b_W144,XTWHYSP_c_W144,XTWHYSP_d_W144,XTWHYNTSP_a_W144,XTWHYNTSP_b_W144,XTWHYNTSP_c_W144,XTWHYNTSP_d_W144,XTSEEPOL_W144,XTPOLIDEO_W144,XTFREEEXP_W144,TTWHY_a_W144,TTWHY_b_W144,TTWHY_c_W144,TTWHY_d_W144,TTWHY_e_W144,TTWHY_f_W144,TTWHY_g_W144,TTDEMOCRACY_W144,TTSOURCE_a_W144,TTSOURCE_b_W144,TTSOURCE_c_W144,TTSOURCE_d_W144,TTSOURCE_e_W144,TTTYPE_a_W144,TTTYPE_b_W144,TTTYPE_c_W144,TTTYPE_d_W144,TTACC_W144,TTINFLUENCE_W144,TTELSE_W144,TTWORN_W144,TTHARASS_W144,TTSHARE_W144,TTSHAREPOL_W144,TTWHYSP_a_W144,TTWHYSP_b_W144,TTWHYSP_c_W144,TTWHYSP_d_W144,TTWHYNTSP_a_W144,TTWHYNTSP_b_W144,TTWHYNTSP_c_W144,TTWHYNTSP_d_W144,TTSEEPOL_W144,TTPOLIDEO_W144,TTFREEEXP_W144,F_METRO,F_AGECAT,F_GENDER,F_EDUCCAT,F_EDUCCAT2,F_RACETHNMOD,F_MARITAL,F_PARTY_FINAL,F_PARTYLN_FINAL,F_PARTYSUM_FINAL,F_PARTYSUMIDEO_FINAL,F_REG,F_INC_SDT1,F_IDEO,F_INTFREQ,F_INC_TIER2
201701688460,2,1,1,1,1,2,3,2,3,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,1,1,2,1,3,1,1,1,1,1,1,1,1,1,1,3,2,3,4,2,1,5,,,,,1,3,2,3,4,3,1,3,3,1,1,3,2,3,3,1,2,1,1,1,1,1,1,1,3,2,3,5,2,1,5,,,,,3,3,1,3,3,3,1,2,3,2,1,3,2,2,1,,,,,,1,1,1,1,,,,,3,2,,,,,,,,,,4,4,1,1,2,2,1,5,3,1,1,,1,2,1,9,3,1,3
201801077098,2,1,2,1,2,4,,4,,2,,2,,3,3,3,2,1,1,3,1,,,,,,1,1,1,2,,,,,3,1,5,,,,,3,3,2,2,4,4,2,2,3,1,1,2,2,2,3,,,,,,2,2,1,1,,,,,3,1,5,,,,,2,2,2,2,4,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,2,1,6,1,1,3,1,1,2,1,9,3,1,3
201801096498,2,1,1,1,2,2,6,6,,2,2,2,,3,3,3,2,1,3,3,2,,,,,,1,1,1,1,,,,,2,1,4,2,3,3,2,,,,,3,3,1,3,3,3,3,2,3,3,3,,,,,,2,2,2,2,,,,,2,1,5,,,,,2,1,1,3,5,,1,3,3,3,3,3,2,3,2,,,,,,2,2,2,2,,,,,2,2,,,,,,,,,,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,1,6,1,1,2,,2,4,1,9,4,1,2
201801134506,2,1,1,2,1,3,4,,6,2,2,,2,3,3,3,2,1,2,3,3,,,,,,1,1,1,1,,,,,3,1,4,3,3,3,3,,,,,4,1,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,3,3,3,2,3,3,,,,,,1,1,1,1,,,,,3,2,,,,,,,,,,2,3,1,3,3,3,2,3,3,3,2,,,,,,2,2,2,2,,,,,3,2,,,,,,,,,,5,,99,1,3,2,2,3,1,3,1,,1,1,1,3,2,1,2
201501731054,2,2,1,2,2,,3,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,1,3,1,2,1,1,1,1,1,1,1,1,1,1,5,2,2,5,3,1,1,1,1,1,2,,,,,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,1,5,4,1,1,,1,1,1,9,1,1,2
133114,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,1,1,6,1,1,3,2,2,4,1,9,4,2,3
201801047570,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,1,1,6,2,1,2,,2,3,1,9,3,2,2
201801135919,2,1,2,2,2,3,,,,2,,,,3,3,2,1,1,2,3,2,,,,,,1,1,1,1,,,,,1,1,4,1,3,3,3,,,,,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,2,3,1,1,2,,2,4,1,2,4,2,2
202201045392,2,1,2,1,1,2,,6,6,2,,2,2,2,2,3,1,1,1,3,1,,,,,,1,1,1,2,,,,,1,1,2,2,2,3,1,,,,,3,2,1,3,3,2,2,1,2,3,1,,,,,,1,1,1,2,,,,,2,2,,,,,,,,,,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,2,2,1,2,3,1,,,,,,1,1,1,2,,,,,2,2,,,,,,,,,,3,4,1,1,1,1,3,2,1,6,2,,2,4,1,1,4,1,1
201501725816,2,1,2,2,2,5,,,,2,,,,3,3,3,3,1,3,3,3,,,,,,1,1,1,1,,,,,2,1,3,2,2,3,3,,,,,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,2,2,3,1,1,1,,1,1,1,5,1,5,2
201801161252,1,1,2,2,2,1,,,,2,,,,3,3,2,1,1,1,2,2,,,,,,1,1,1,1,,,,,3,1,4,3,3,3,3,,,,,4,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,1,2,3,1,5,3,1,1,1,3,1,1,2,1
201801095487,1,1,2,2,2,3,,,,2,,,,3,3,2,2,1,1,2,3,,,,,,1,1,1,1,,,,,1,2,,,,,,,,,,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,2,2,3,2,2,2,,2,3,1,5,3,1,2
201801095401,1,2,1,2,2,,3,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,1,3,2,3,2,,,,,,1,1,1,1,,,,,2,1,4,3,2,3,2,,,,,3,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,2,2,4,1,2,2,,2,4,1,9,4,2,3
201801178458,2,1,2,1,2,2,,2,,1,,1,,3,3,3,2,1,1,2,2,2,1,2,2,1,1,1,1,1,1,3,1,1,1,1,5,,,,,1,1,1,2,4,2,2,2,3,2,1,1,1,3,2,2,1,1,2,1,2,2,2,2,3,2,3,2,1,1,1,2,2,3,3,,,,,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,1,5,1,1,1,,1,1,1,9,2,1,3
201901047410,1,2,1,2,1,,6,,2,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,2,3,3,2,2,,,,,,1,1,1,1,,,,,2,2,,,,,,,,,,3,1,2,2,2,2,1,3,3,2,3,1,2,2,2,1,1,1,1,1,3,2,1,3,3,2,,,,,,,,,,4,3,1,1,2,1,2,3,3,1,2,,2,4,3,9,4,1,2
201801091219,1,1,1,1,1,2,5,2,6,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,1,1,1,2,1,,,,,,1,1,1,2,,,,,2,1,3,1,3,2,2,,,,,3,3,2,1,2,2,2,3,2,3,1,,,,,,1,1,1,1,,,,,2,1,4,2,2,2,3,,,,,3,2,1,3,3,3,1,3,3,3,2,,,,,,1,1,1,2,,,,,2,2,,,,,,,,,,4,2,1,1,3,2,1,5,1,2,2,,2,4,3,9,4,1,3
201801118776,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,1,6,1,1,4,1,1,1,1,9,1,1,3
202001021489,2,1,2,1,1,4,,2,6,1,,2,2,3,3,3,3,1,2,3,3,1,2,2,1,1,2,1,1,1,2,2,3,4,2,1,5,,,,,2,3,3,3,3,3,1,3,3,3,2,1,1,2,3,,,,,,1,1,1,2,,,,,2,1,5,,,,,2,3,2,3,4,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,1,3,3,2,2,,,,,,1,2,2,1,,,,,3,2,,,,,,,,,,5,,1,1,2,2,2,3,3,6,3,1,1,2,1,1,3,2,1
202101004312,1,1,2,2,2,3,,,,2,,,,2,2,3,3,1,2,2,2,,,,,,1,1,2,1,,,,,1,1,3,2,2,3,2,,,,,3,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,2,3,2,1,1,1,,1,2,1,4,3,3,2
202201015638,1,2,1,1,1,,3,5,2,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,2,1,3,2,2,3,1,1,1,1,1,1,1,2,1,4,4,2,3,3,1,2,3,2,3,3,,,,,3,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,3,4,3,1,4,1,1,2,1,,,,,1,4,1,2,1,2,2,1,1,3,3,1,1,1,1,1,1,1,1,1,3,99,3,3,3,2,,,,,,,,,,3,4,2,2,2,2,2,4,1,1,4,2,2,3,3,7,3,3,2
201701724208,1,1,2,2,2,3,,,,2,,,,2,2,2,2,1,1,3,2,,,,,,1,1,1,1,,,,,2,1,4,3,3,3,3,,,,,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,1,3,2,4,3,4,1,1,1,1,4,2,3,2
201801150851,2,1,2,1,2,2,,4,,2,,2,,3,3,2,2,3,1,3,1,,,,,,2,1,1,1,,,,,2,1,5,,,,,2,2,1,3,4,1,1,3,3,3,1,3,2,3,3,,,,,,2,2,1,2,,,,,2,2,,,,,,,,,,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,1,5,1,6,2,,2,3,1,2,3,2,1
201801092658,2,1,2,2,2,1,,,,1,,,,1,1,2,1,1,1,1,3,1,1,1,1,1,1,1,1,1,3,2,3,4,2,1,3,2,2,2,2,,,,,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,1,2,3,1,3,2,,2,4,1,6,4,2,2
202101004180,2,1,2,2,2,3,,,,2,,,,3,3,3,3,1,3,3,2,,,,,,1,1,1,1,,,,,1,1,2,1,1,3,1,,,,,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,2,3,2,1,1,1,,1,1,1,9,2,1,2
201501410034,2,1,2,1,2,4,,4,,2,,2,,3,3,3,3,2,1,3,1,,,,,,1,2,1,2,,,,,2,2,,,,,,,,,,4,2,1,3,3,3,99,3,1,3,1,,,,,,2,2,2,2,,,,,2,2,,,,,,,,,,5,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,2,1,6,1,2,2,,2,4,1,1,4,2,1
202101000607,2,1,2,2,2,2,,,,2,,,,2,3,3,2,1,1,2,1,,,,,,1,1,1,1,,,,,1,1,5,,,,,1,1,1,2,3,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,3,1,1,1,,1,2,1,4,3,1,2
201501232842,2,1,2,2,2,2,,,,2,,,,3,3,3,2,1,2,3,2,,,,,,1,1,1,1,,,,,2,1,5,,,,,3,2,3,2,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,1,5,1,1,3,1,1,1,1,5,2,2,2
202201053306,2,1,1,2,2,5,6,,,2,2,,,3,3,3,3,1,1,3,2,,,,,,1,1,1,1,,,,,1,1,3,1,1,2,1,,,,,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,1,1,3,2,,,,,,1,1,1,1,,,,,1,1,2,2,2,2,1,,,,,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,2,2,3,2,5,3,2,2,4,1,1,5,3,1
201801026068,1,1,2,2,2,4,,,,2,,,,3,2,2,2,1,1,3,3,,,,,,1,1,2,2,,,,,2,1,3,1,1,2,1,,,,,4,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,2,2,3,1,1,2,,2,3,1,5,2,2,2
201801025817,2,1,2,1,2,1,,1,,2,,2,,3,3,2,1,1,2,3,3,,,,,,2,2,2,2,,,,,2,1,5,,,,,3,2,2,3,4,4,1,3,3,2,2,1,2,3,3,,,,,,2,2,2,2,,,,,3,1,5,,,,,3,3,2,3,5,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,2,3,2,5,1,1,,1,2,1,5,3,1,2
201801083419,2,1,1,1,1,4,1,2,1,2,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,2,2,3,3,1,,,,,,2,2,2,1,,,,,2,2,,,,,,,,,,4,3,1,3,3,3,2,3,1,3,3,2,2,2,2,2,1,1,1,1,3,2,1,4,2,2,,,,,,,,,,5,,1,1,1,2,1,2,1,1,3,1,2,1,1,1,1,1,1,1,4,3,2,4,2,1,4,3,3,3,3,,,,,5,,1,1,1,1,2,3,3,6,3,2,2,3,1,7,3,1,2
201801102358,2,1,2,2,2,2,,,,1,,,,2,1,2,2,2,1,3,2,1,1,2,1,1,1,1,1,2,3,2,3,3,1,2,,,,,,,,,,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,2,1,6,1,1,2,,2,4,1,9,4,2,3
